RA,DEC,z,W1mag,W2mag,W1_W2,M_W1,L_W1,Mstar,log_mass,galaxy_type
234.7485,33.621,0.1951,13.62899971,13.69499969,-0.065999985,-26.33562803,6.76474E+11,6.72808E+11,11.82789115,Giant Elliptical / BCG
28.4293,5.5918,0.3156,15.13799953,14.80099964,0.336999893,-26.0114961,5.01878E+11,47273603795,10.67461871,Elliptical
162.7602,53.216,0.3184,14.17399979,13.95400047,0.219999313,-26.99768249,1.24472E+12,2.32421E+11,11.36627537,Elliptical
250.0825,46.7115,0.2259,13.86800003,13.6079998,0.260000229,-26.4530044,7.53706E+11,1.11378E+11,11.04679942,Elliptical
144.5529,31.5219,0.3869,14.25699997,13.99100018,0.265999794,-27.40810288,1.81652E+12,2.5918E+11,11.41360149,Elliptical
220.3765,38.3618,0.3574,14.53899956,14.30200005,0.236999512,-26.92435899,1.16344E+12,1.96682E+11,11.29376462,Elliptical
158.1753,19.8444,0.4,15.03499985,14.8210001,0.213999748,-26.71517337,9.59554E+11,1.85571E+11,11.26851011,Elliptical
217.6193,24.672,0.1364,12.96000004,12.79800034,0.161999702,-26.15022518,5.70283E+11,1.4949E+11,11.17461214,Elliptical
18.1159,3.5505,0.4035,14.70400047,14.56900024,0.135000229,-27.06846561,1.32858E+12,4.07836E+11,11.61048556,Giant Elliptical / BCG
32.5757,-1.0183,0.1753,13.75,13.52099991,0.229000092,-25.95691154,4.77271E+11,84548203390,10.92710438,Elliptical
144.5819,52.0513,0.3409,14.51500034,14.26099968,0.254000664,-26.82872009,1.06534E+12,1.63052E+11,11.21232613,Elliptical
124.7656,18.1449,0.3009,14.24199963,14.09599972,0.145999908,-26.78795859,1.02609E+12,2.95355E+11,11.47034433,Elliptical
213.5513,6.8675,0.1122,12.86999989,12.78299999,0.086999893,-25.78240881,4.06409E+11,1.6519E+11,11.21798375,Elliptical
341.8012,-2.0938,0.3357,14.15299988,13.84700012,0.305999756,-27.15190994,1.43471E+12,1.62004E+11,11.20952574,Elliptical
341.2217,27.074,0.303,13.84000015,13.6260004,0.213999748,-27.20735945,1.50988E+12,2.92001E+11,11.46538434,Elliptical
346.3337,21.0537,0.1016,12.39099979,12.34700012,0.043999672,-26.03078061,5.10872E+11,2.67026E+11,11.42655355,Elliptical
343.5164,16.9494,0.3357,14.96100044,14.64799976,0.313000679,-26.34390938,6.81654E+11,73882575645,10.86854203,Elliptical
167.5152,34.5451,0.2499,13.84500027,13.6239996,0.221000671,-26.72385133,9.67254E+11,1.79556E+11,11.25419992,Elliptical
150.3957,30.8917,0.3048,15.05700016,14.77799988,0.279000282,-26.00518685,4.9897E+11,65980260038,10.81941402,Elliptical
223.018,11.7791,0.3148,14.24100018,13.98400021,0.256999969,-26.90212315,1.13985E+12,1.71423E+11,11.23406909,Elliptical
172.5054,12.9381,0.2417,13.47099972,13.14799976,0.322999954,-27.01573637,1.26559E+12,1.29382E+11,11.11187386,Elliptical
195.4898,42.1418,0.3319,14.26099968,14.03499985,0.225999832,-27.01519699,1.26497E+12,2.28055E+11,11.3580396,Elliptical
33.6712,-4.5674,0.1371,14.85200024,14.55099964,0.301000595,-24.27029847,1.00953E+11,11737561393,10.06957788,Spiral
18.0755,33.1565,0.118,12.82199955,12.71899986,0.102999687,-25.94803913,4.73386E+11,1.75225E+11,11.24359607,Elliptical
127.0245,44.7668,0.1481,12.63700008,12.47500038,0.161999702,-26.66781938,9.18603E+11,2.40796E+11,11.38164927,Elliptical
231.2647,37.0444,0.2028,13.42500019,13.16100025,0.263999939,-26.63335127,8.89899E+11,1.28464E+11,11.10878144,Elliptical
255.6771,34.06,0.1013,12.24499989,12.17099953,0.074000359,-26.1699276,5.80726E+11,2.54689E+11,11.40601019,Elliptical
147.4658,17.1196,0.3881,14.33500004,14.09599972,0.23900032,-27.33800531,1.70295E+12,2.84539E+11,11.4541418,Elliptical
205.2428,-1.8543,0.3554,13.81499958,13.4630003,0.351999283,-27.63413165,2.23693E+12,1.93008E+11,11.28557531,Elliptical
335.9872,-1.5833,0.0905,12.28100014,12.2329998,0.048000336,-25.87346137,4.41962E+11,2.25665E+11,11.35346421,Elliptical
244.4043,7.4471,0.416,14.73900032,14.55300045,0.18599987,-27.11164986,1.38248E+12,3.14935E+11,11.49822093,Elliptical
259.6312,30.0468,0.2787,13.67199993,13.40799999,0.263999939,-27.16683693,1.45457E+12,2.09979E+11,11.32217586,Elliptical
146.5172,2.5795,0.3498,14.98600006,14.65200043,0.333999634,-26.42289865,7.33094E+11,70274925090,10.84680039,Elliptical
22.4966,23.3358,0.2338,13.94099998,13.64099979,0.300000191,-26.46416079,7.6149E+11,89056132269,10.94966383,Elliptical
219.1898,29.7643,0.3611,14.5010004,14.2510004,0.25,-26.98848636,1.23423E+12,1.93372E+11,11.28639359,Elliptical
143.0359,29.0678,0.2987,14.20699978,13.92399979,0.282999992,-26.80460819,1.04194E+12,1.34593E+11,11.12902247,Elliptical
151.6674,21.6707,0.1933,15.31099987,14.97599983,0.335000038,-24.63122551,1.40764E+11,13414982455,10.12759011,Spiral
203.1127,-3.0778,0.1803,13.53299999,13.30700016,0.225999832,-26.2414446,6.20266E+11,1.11825E+11,11.04853891,Elliptical
8.9234,12.9301,0.2558,14.29800034,14.07299995,0.225000381,-26.32841348,6.71994E+11,1.21861E+11,11.08586474,Elliptical
159.6703,14.2187,0.3814,14.67199993,14.47799969,0.194000244,-26.95659114,1.1985E+12,2.60541E+11,11.41587608,Elliptical
323.8283,1.4242,0.232,13.74800014,13.44400024,0.303999901,-26.63821893,8.93897E+11,1.02124E+11,11.00912782,Elliptical
123.941,10.0696,0.2715,13.88599968,13.70199966,0.184000015,-26.8878365,1.12495E+12,2.59283E+11,11.41377404,Elliptical
222.0389,27.3679,0.2488,14.48700047,14.18000031,0.30700016,-26.07098101,5.30142E+11,59513021000,10.774612,Elliptical
224.2363,6.7808,0.3076,14.05799961,13.81599998,0.241999626,-27.02709293,1.2789E+12,2.0997E+11,11.32215725,Elliptical
216.4861,37.8165,0.1651,13.06799984,12.88300037,0.184999466,-26.4954119,7.83727E+11,1.79583E+11,11.25426522,Elliptical
203.5362,20.2481,0.1746,13.6590004,13.40299988,0.256000519,-26.03831424,5.14429E+11,77818773056,10.89108438,Elliptical
201.7542,2.2054,0.2616,13.58699989,13.29899979,0.288000107,-27.09482146,1.36122E+12,1.70769E+11,11.23240904,Elliptical
12.7276,26.3357,0.2428,13.44999981,13.18000031,0.269999504,-27.04789945,1.30365E+12,1.81703E+11,11.2593621,Elliptical
149.705,20.8469,0.2123,14.11100006,13.7670002,0.343999863,-26.05855374,5.24109E+11,47387287027,10.67566185,Elliptical
37.7287,2.7888,0.2456,13.23999977,12.99400043,0.245999336,-27.28610602,1.62346E+12,2.60378E+11,11.41560429,Elliptical
